movieId,Title,Name,Genres,Poster Path
1,Venom: The Last Dance,Venom: The Last Dance,"Action, Science Fiction, Adventure, Thriller",https://image.tmdb.org/t/p/w500/aosm8NMQ3UyoBVpSxyimorCQykC.jpg
2,Moana 2,Moana 2,"Animation, Adventure, Family, Comedy",https://image.tmdb.org/t/p/w500/4YZpsylmjHbqeWzjKpUEF8gcLNW.jpg
3,Elevation,Elevation,"Action, Science Fiction, Thriller",https://image.tmdb.org/t/p/w500/uQhYBxOVFU6s9agD49FnGHwJqG5.jpg
4,Absolution,Absolution,"Action, Crime, Thriller",https://image.tmdb.org/t/p/w500/cNtAslrDhk1i3IOZ16vF7df6lMy.jpg
5,Red One,Red One,"Comedy, Action, Fantasy",https://image.tmdb.org/t/p/w500/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg
6,Armor,Armor,"Action, Crime, Thriller",https://image.tmdb.org/t/p/w500/pnXLFioDeftqjlCVlRmXvIdMsdP.jpg
7,"Miraculous World, London: At the Edge of Time","Miraculous World : Londres, la course contre le temps","Animation, Adventure, Action, Fantasy",https://image.tmdb.org/t/p/w500/6AtoMpHvs9pxd30KsyK8QmJ9W9M.jpg
8,That Christmas,That Christmas,"Animation, Comedy, Family, Fantasy, Adventure",https://image.tmdb.org/t/p/w500/bX6dx2U4hOk1esI7mYwtD3cEKdC.jpg
9,Watchmen: Chapter II,Watchmen: Chapter II,"Animation, Mystery, Science Fiction, Action",https://image.tmdb.org/t/p/w500/4rBObJFpiWJOG7aIlRrOUniAkBs.jpg
10,The Wild Robot,The Wild Robot,"Animation, Action, Science Fiction, Family",https://image.tmdb.org/t/p/w500/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg
11,Sikandar Ka Muqaddar,सिकंदर का मुकद्दर,"Thriller, Crime, Mystery, Action",https://image.tmdb.org/t/p/w500/eWUh4rgxtgypgnOa6uGMnUt01ux.jpg
12,Gladiator II,Gladiator II,"Action, Adventure, History",https://image.tmdb.org/t/p/w500/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg
13,Kraven the Hunter,Kraven the Hunter,"Action, Adventure, Thriller",https://image.tmdb.org/t/p/w500/i47IUSsN126K11JUzqQIOi1Mg1M.jpg
14,GTMAX,GTMAX,"Action, Crime, Drama",https://image.tmdb.org/t/p/w500/bx92hl70NUhojjO3eV6LqKllj4L.jpg
15,Deadpool & Wolverine,Deadpool & Wolverine,"Action, Comedy, Science Fiction",https://image.tmdb.org/t/p/w500/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg
16,Sidelined: The QB and Me,Sidelined: The QB and Me,"Comedy, Romance, TV Movie",https://image.tmdb.org/t/p/w500/hklQwv6QVoOp5bWyh1bjuF2ydyG.jpg
17,Wicked,Wicked,"Drama, Romance, Fantasy",https://image.tmdb.org/t/p/w500/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg
18,The Substance,The Substance,"Horror, Science Fiction",https://image.tmdb.org/t/p/w500/lqoMzCcZYEFK729d6qzt349fB4o.jpg
19,Smile 2,Smile 2,"Horror, Mystery",https://image.tmdb.org/t/p/w500/ht8Uv9QPv9y7K0RvUyJIaXOZTfd.jpg
20,Weekend in Taipei,Weekend in Taipei,"Action, Adventure, Thriller",https://image.tmdb.org/t/p/w500/qSc0AUvs8mRy00R9y8QYEHWIAQ9.jpg
21,Arena Wars,Arena Wars,"Action, Science Fiction, Thriller, Comedy, Horror",https://image.tmdb.org/t/p/w500/4dRtXjk1rcsZlaMJpBn6Nh9cTfO.jpg
22,Apocalypse Z: The Beginning of the End,Apocalipsis Z: el principio del fin,"Drama, Action, Horror",https://image.tmdb.org/t/p/w500/wIGJnIFQlESkC2rLpfA8EDHqk4g.jpg
23,Heretic,Heretic,"Horror, Thriller",https://image.tmdb.org/t/p/w500/5HJqjCTcaE1TFwnNh3Dn21be2es.jpg
24,Terrifier 3,Terrifier 3,"Horror, Thriller",https://image.tmdb.org/t/p/w500/ju10W5gl3PPK3b7TjEmVOZap51I.jpg
25,Pimpinero: Blood and Oil,Pimpinero: Sangre y gasolina,"Action, Crime, Drama",https://image.tmdb.org/t/p/w500/kukotsflOSVGXQezuXohj41dbfL.jpg
26,Alien: Romulus,Alien: Romulus,"Horror, Science Fiction",https://image.tmdb.org/t/p/w500/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg
27,Levels,Levels,"Action, Science Fiction, Thriller",https://image.tmdb.org/t/p/w500/y1xm0jMIlx9Oo2a3jWNyLGm43sJ.jpg
28,Inside Out 2,Inside Out 2,"Animation, Adventure, Comedy, Drama, Family",https://image.tmdb.org/t/p/w500/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg
29,Hunting With Tigers,Tigres et Hyènes,"Action, Thriller",https://image.tmdb.org/t/p/w500/vb6qzT0egUPHcmUwusPNl9j943p.jpg
